Brand	LOT	EXP
Moderna 3-11	3062597	05/02/27
Moderna 12+ NEXSPIKE	3062185	04/12/2027
Pfizer 12+	RM3739	06/22/2027
Afluria MDV	P100710085	06/30/25
Afluria PFS	AX6340A	06/30/2026
Flucelvax MDV
Flucelvax PFS	950454	06/30/2027
Fluad	418606	06/01/27
Fluarix PFS
Fluzone PFS
Fluzone HD
Flulaval
FluMist	AF3590C	12/21/26
Arexvy
Boostrix	B329G	10/02/28
Shingrix	7C955	09/29/28
Engerix 20	2GZ34	08/14/28
Prevnar 20	MM0527	03/31/27
Pneumovax 23
Gardasil	Z016807	12/17/2027
Menveo	AMVB094A	09/30/27
Vaqta adult	Z012608	5/4/27
Typhim Vi	Y2A031M	06/30/2027
MMR	Z017518	12/17/27
Abrysvo	RA5170	09/30/27
Priorix	XX9N4	6/1/26
Capvaxive	Z016522	8/16/27
mFLUSIVA	BC9WP59XR5RX	02/23/27
